Kanton,Wahlberechtigte (2013),Unterschriftenquorum Volksinitiative,Verhältnis Quorum zu Wahlberechtigte (Volksinitiative),
CH,5174680,100000,1.93%,
BE,720085,15000,2.08%,
VD,415536,12000,2.89%,
TI,214297,10000,4.67%,
GE,242800,9712,4.00%,
SG,312962,8000,2.56%,
FR,189179,6000,3.17%,
NE,110240,6000,5.44%,
VS,209276,6000,2.87%,
ZH,886472,6000,0.68%,
LU,263813,5000,1.90%,
GR,136186,4000,2.94%,
TG,163158,4000,2.45%,
AG,404017,3000,0.74%,
BS,113966,3000,2.63%,
SO,174869,3000,1.72%,
JU,51047,2000,3.92%,
SZ,99707,2000,2.01%,
ZG,72663,2000,2.75%,
BL,186367,1500,0.80%,
SH,50483,1000,1.98%,
UR,26214,600,2.29%,
NW,30567,500,1.64%,
OW,25521,500,1.96%,
AR,37738,300,0.79%,
AI,11421,,,
GL,26096,,,